customer_id,ActivityDate,TotalSteps, TotalDistance , TotalMinutes , LoggedActivitiesDistance , VeryActiveDistance , ModeratelyActiveDistance , LightActiveDistance , SedentaryActiveDistance ,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Activity Level,DaysOfTheWeek
81,5/1/16,36019,28.03,1440,0,21.92,4.19,1.91,0.02,186,63,171,1020,2690,Active,Sunday
81,4/30/16,18213,13.24,1298,0,0.63,3.14,9.46,0,9,71,402,816,3846,Active,Saturday
81,4/16/16,15300,11.12,1440,0,4.1,1.88,5.09,0,51,42,212,1135,3493,Active,Saturday
81,5/7/16,13372,9.72,1440,0,3.26,0.79,5.67,0.01,41,17,243,1139,3404,Active,Saturday
81,5/3/16,12850,9.34,1440,0,0.72,4.09,4.54,0,10,94,221,1115,3324,Active,Tuesday
81,4/19/16,11256,8.18,1440,0,0.36,2.53,5.3,0,5,58,278,1099,3300,Active,Tuesday
81,4/14/16,11037,8.02,1440,0,0.36,2.56,5.1,0,5,58,252,1125,3226,Active,Thursday
81,4/12/16,10694,7.77,1440,0,0.14,2.3,5.33,0,2,51,256,1131,3199,Active,Tuesday
81,4/18/16,10536,7.41,1440,0,2.15,0.62,4.62,0.01,17,7,202,1214,1604,Active,Monday
81,4/26/16,9919,7.21,1440,0,0.8,1.72,4.69,0,11,41,223,1165,3123,Active,Tuesday
81,5/6/16,9787,7.12,1440,0,0.82,0.27,6.01,0.02,11,6,369,1054,3328,Active,Friday
81,4/28/16,9405,6.84,1440,0,0.2,2.32,4.31,0,3,53,227,1157,3108,Active,Thursday
81,5/10/16,9167,6.66,1440,0,0.88,0.81,4.97,0.01,12,19,155,1254,2799,Active,Tuesday
81,4/14/16,9107,5.92,1440,0,0,0,5.91,0.01,0,0,236,1204,1572,Active,Thursday
81,4/17/16,8757,6.37,1440,0,2.25,0.57,3.55,0,29,13,186,1212,3011,Active,Sunday
81,4/23/16,8538,5.55,1440,0,0,0,5.54,0.01,0,0,227,1213,1562,Active,Saturday
81,4/27/16,8367,5.44,1440,0,1.11,1.87,2.46,0,17,36,154,1233,1670,Active,Wednesday
81,4/12/16,8163,5.31,1440,0,0,0,5.31,0,0,0,146,1294,1432,Active,Tuesday
81,4/13/16,8001,5.82,1440,0,2.28,0.9,2.64,0,30,16,135,1259,2902,Active,Wednesday
81,5/2/16,7155,4.93,1440,0,0.86,0.59,3.47,0,7,6,166,1261,1497,Active,Monday
81,4/18/16,7132,5.19,1440,0,1.07,1.67,2.45,0,15,33,121,1271,2806,Active,Monday
81,4/13/16,7007,4.55,1440,0,0,0,4.55,0,0,0,148,1292,1411,Active,Wednesday
81,5/8/16,6724,4.89,1286,0,0,0,4.88,0,0,0,295,991,2987,Active,Sunday
81,5/9/16,6643,4.83,1440,0,2.39,0.35,2.09,0.01,32,6,303,1099,3008,Active,Monday
81,4/23/16,6637,4.83,1440,0,0,0.58,4.25,0,0,15,160,1265,2677,Active,Saturday
81,4/25/16,6497,4.22,1440,0,0,0,4.2,0.02,0,0,202,1238,1492,Active,Monday
81,4/30/16,6474,4.3,1440,0,0.9,1.28,2.12,0.01,11,23,224,1182,1655,Active,Saturday
81,4/21/16,6349,4.13,1440,0,0,0,4.11,0.02,0,0,186,1254,1467,Active,Thursday
