customer_id,Id,ActivityDate,TotalSteps, TotalDistance , TrackerDistance ,LoggedActivitiesDistance, VeryActiveDistance , ModeratelyActiveDistance , LightActiveDistance ,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,TotalActiveMinutes,ActivityLevel,DaysOfTheWeek
0366,1503960366,4/12/16,13162, 8.50 , 8.50 ,0, 1.88 , 0.55 , 6.06 ,0,25,13,328,728,1985,1094,Active,Tuesday
0366,1503960366,4/13/16,10735, 6.97 , 6.97 ,0, 1.57 , 0.69 , 4.71 ,0,21,19,217,776,1797,1033,Active,Wednesday
0366,1503960366,4/14/16,10460, 6.74 , 6.74 ,0, 2.44 , 0.40 , 3.91 ,0,30,11,181,1218,1776,1440,Very Active,Thursday
0366,1503960366,4/15/16,9762, 6.28 , 6.28 ,0, 2.14 , 1.26 , 2.83 ,0,29,34,209,726,1745,998,Not Active,Friday
0366,1503960366,4/16/16,12669, 8.16 , 8.16 ,0, 2.71 , 0.41 , 5.04 ,0,36,10,221,773,1863,1040,Active,Saturday
0366,1503960366,4/17/16,9705, 6.48 , 6.48 ,0, 3.19 , 0.78 , 2.51 ,0,38,20,164,539,1728,761,Not Active,Sunday
0366,1503960366,4/18/16,13019, 8.59 , 8.59 ,0, 3.25 , 0.64 , 4.71 ,0,42,16,233,1149,1921,1440,Very Active,Monday
0366,1503960366,4/19/16,15506, 9.88 , 9.88 ,0, 3.53 , 1.32 , 5.03 ,0,50,31,264,775,2035,1120,Active,Tuesday
0366,1503960366,4/20/16,10544, 6.68 , 6.68 ,0, 1.96 , 0.48 , 4.24 ,0,28,12,205,818,1786,1063,Active,Wednesday
0366,1503960366,4/21/16,9819, 6.34 , 6.34 ,0, 1.34 , 0.35 , 4.65 ,0,19,8,211,838,1775,1076,Active,Thursday
0366,1503960366,4/22/16,12764, 8.13 , 8.13 ,0, 4.76 , 1.12 , 2.24 ,0,66,27,130,1217,1827,1440,Very Active,Friday
0366,1503960366,4/23/16,14371, 9.04 , 9.04 ,0, 2.81 , 0.87 , 5.36 ,0,41,21,262,732,1949,1056,Active,Saturday
0366,1503960366,4/24/16,10039, 6.41 , 6.41 ,0, 2.92 , 0.21 , 3.28 ,0,39,5,238,709,1788,991,Not Active,Sunday
0366,1503960366,4/25/16,15355, 9.80 , 9.80 ,0, 5.29 , 0.57 , 3.94 ,0,73,14,216,814,2013,1117,Active,Monday
0366,1503960366,4/26/16,13755, 8.79 , 8.79 ,0, 2.33 , 0.92 , 5.54 ,0,31,23,279,833,1970,1166,Active,Tuesday
0366,1503960366,4/27/16,18134, 12.21 , 12.21 ,0, 6.40 , 0.41 , 5.41 ,0,78,11,243,1108,2159,1440,Very Active,Wednesday
0366,1503960366,4/28/16,13154, 8.53 , 8.53 ,0, 3.54 , 1.16 , 3.79 ,0,48,28,189,782,1898,1047,Active,Thursday
